Exterior color,Interior color,Drivetrain,MPG,Fuel type,Transmission,Engine,VIN,Stock #,Mileage,title,primaly_price,currency,url
Santorini Black,Ebony,Four-wheel Drive,–,Gasoline,8-Speed Automatic,5.0L V8 32V GDI DOHC Supercharged,SALEPEFE0R2254092,4614,4 mi.,2024 Land Rover Defender P500 SE,106608.0,$,https://www.cars.com/vehicledetail/76b6deed-5974-4f88-904b-01e5c1309a22/
Fuji White,Ebony,Four-wheel Drive,18–23,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,SALE26EUXP2213494,4498,8 mi.,2023 Land Rover Defender 90 X-Dynamic SE,80480.0,$,https://www.cars.com/vehicledetail/3a8d3929-ae82-4e8e-82e6-4155432b0a6f/
Tanzanite Blue,Silverstone,All-wheel Drive,16–23,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Twin Turbo,WBS33BA05RCP46785,RCP46785,23 mi.,2024 BMW M4 Competition xDrive,101795.0,$,https://www.cars.com/vehicledetail/92f9fcce-6f6f-42d4-894f-91524251c50d/
Polar White,Macchiato,All-wheel Drive,20–24,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,4JGFB4KB4PA915475,M20235475,"3,996 mi.",2023 Mercedes-Benz GLE 350 Base 4MATIC,62990.0,$,https://www.cars.com/vehicledetail/7af40999-07f5-4c0e-b2b6-b7e2d10a36ef/
Blueprint,Black,Four-wheel Drive,19–22,Hybrid,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,7SVAAABA1RX024167,240208,–,2024 Toyota Sequoia SR5,70912.0,$,https://www.cars.com/vehicledetail/c61f1058-2eb9-48c6-9cbd-32941dbbd143/
White Platinum Tri-Coat Metallic,Mesa,Four-wheel Drive,16–22,Diesel,10-Speed Automatic,3.0L V6 24V DI DOHC Turbo Diesel,1FTFW1E10JFD94324,7208,"41,157 mi.",2018 Ford F-150 King Ranch,49996.0,$,https://www.cars.com/vehicledetail/4f58e82f-6390-4d6d-ad0b-968a7008515a/
Galactic Gray Metallic,Brandy,Four-wheel Drive,–,Gasoline,Automatic,6.2L V8 16V GDI OHV,1GYS4BKL5NR317205,NR317205TA,"18,083 mi.",2022 Cadillac Escalade Premium Luxury,80000.0,$,https://www.cars.com/vehicledetail/eff15437-c7dd-41bc-8c0f-d8a2b72521f1/
01H1,Gray,All-wheel Drive,35–36,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,5TDBSKFC2PS075564,PS075564,"6,337 mi.",2023 Toyota Sienna LE,41020.0,$,https://www.cars.com/vehicledetail/32df17b8-e1e7-4a68-8a96-80eba3e1038c/
Eiger Grey Metallic,Light Oyster Perforated Grained Leather,Four-wheel Drive,20–26,Gasoline,automatic,"Ingenium 2L I-4 gasoline direct injection, DOHC, variable valve",SALYT2EX8NA342172,85550,"9,744 mi.",2022 Land Rover Range Rover Velar P250 S,54997.0,$,https://www.cars.com/vehicledetail/71ed2c7a-14af-432b-8304-12b177667a9c/
White Frost Tri-Coat,Light Shale,Four-wheel Drive,14–18,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GKS2DKL5PR527334,8913,10 mi.,2023 GMC Yukon Denali,92365.0,$,https://www.cars.com/vehicledetail/b5c0fd33-f182-42e7-a92b-5388aa9090b5/
Magnetite Gray Pearl,Gray,All-wheel Drive,26–33,Gasoline,Automatic CVT,2.5L H4 16V GDI DOHC,4S4GUHL62R3722613,10812,4 mi.,2024 Subaru Crosstrek Limited,35281.0,$,https://www.cars.com/vehicledetail/b48aede5-2d84-40b8-bfe9-19d3264f74be/
Octane Red Pearlcoat,Black,All-wheel Drive,18–27,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, regular unleade",2C3CDZKG6PH611404,J3433,2 mi.,2023 Dodge Challenger GT,47220.0,$,https://www.cars.com/vehicledetail/65655401-2c02-45cf-aeb6-2b5b8ffccf11/
Silver Sky Metallic,Black,All-wheel Drive,27–33,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,2T3P1RFV5LW133484,T3859,"28,147 mi.",2020 Toyota RAV4 XLE,28421.0,$,https://www.cars.com/vehicledetail/c6bb5740-40db-487e-bfe2-ec301a2e1f71/
